File ./HW1_1.pcap
Timestamp           :   source -> destination
1730345417.310155   :   10.0.0.22                              -> 224.0.0.251
1730345417.310155   :   fe80::1092:9276:f476:a6dc              -> ff02::fb
1730345418.334667   :   10.0.0.22                              -> 224.0.0.251
1730345418.334667   :   fe80::1092:9276:f476:a6dc              -> ff02::fb
1730345419.155224   :   fe80::c650:9cff:fe8c:dd77              -> ff02::1
1730345420.496632   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2001:558:feed::1
1730345420.496874   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2001:558:feed::1
1730345420.520926   :   2001:558:feed::1                       -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345420.520926   :   2001:558:feed::1                       -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345420.541581   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2607:f8b0:4005:80f::200e
1730345420.565141   :   2607:f8b0:4005:80f::200e               -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345421.30394    :   10.0.0.22                              -> 224.0.0.251
1730345421.30394    :   fe80::1092:9276:f476:a6dc              -> ff02::fb
1730345421.552377   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2607:f8b0:4005:80f::200e
1730345421.573926   :   2607:f8b0:4005:80f::200e               -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345422.123861   :   fe80::c650:9cff:fe8c:dd77              -> ff02::1
1730345422.560769   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2607:f8b0:4005:80f::200e
1730345422.584018   :   2607:f8b0:4005:80f::200e               -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345422.841809   :   10.0.0.126                             -> 224.0.0.251
1730345422.841809   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345422.841809   :   10.0.0.126                             -> 224.0.0.251
1730345422.841809   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345423.35228    :   10.0.0.126                             -> 224.0.0.251
1730345423.35228    :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345423.587082   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2607:f8b0:4005:80f::200e
1730345423.615533   :   2607:f8b0:4005:80f::200e               -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345423.668859   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345423.866115   :   10.0.0.126                             -> 224.0.0.251
1730345423.866115   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345423.866115   :   10.0.0.126                             -> 224.0.0.251
1730345423.866115   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345423.918312   :   10.0.0.109                             -> 169.237.216.195
1730345423.939192   :   169.237.216.195                        -> 10.0.0.109
1730345423.968537   :   10.0.0.126                             -> 224.0.0.251
1730345423.968537   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345424.171783   :   10.0.0.126                             -> 224.0.0.251
1730345424.171783   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345424.235168   :   10.0.0.109                             -> 184.28.149.184
1730345424.235474   :   10.0.0.109                             -> 184.28.149.124
1730345424.235583   :   10.0.0.109                             -> 184.28.149.124
1730345424.235708   :   10.0.0.109                             -> 184.28.149.124
1730345424.235783   :   10.0.0.109                             -> 184.28.149.124
1730345424.235867   :   10.0.0.109                             -> 184.28.149.124
1730345424.235939   :   10.0.0.109                             -> 184.28.149.124
1730345424.236044   :   10.0.0.109                             -> 184.28.149.124
1730345424.236116   :   10.0.0.109                             -> 184.28.149.124
1730345424.236221   :   10.0.0.109                             -> 184.28.149.124
1730345424.236303   :   10.0.0.109                             -> 184.28.149.124
1730345424.236374   :   10.0.0.109                             -> 184.28.149.124
1730345424.274388   :   184.28.149.124                         -> 10.0.0.109
1730345424.274493   :   10.0.0.109                             -> 184.28.149.124
1730345424.276494   :   184.28.149.184                         -> 10.0.0.109
1730345424.276494   :   184.28.149.124                         -> 10.0.0.109
1730345424.276494   :   184.28.149.124                         -> 10.0.0.109
1730345424.276494   :   184.28.149.184                         -> 10.0.0.109
1730345424.276494   :   184.28.149.124                         -> 10.0.0.109
1730345424.276494   :   184.28.149.124                         -> 10.0.0.109
1730345424.276494   :   184.28.149.124                         -> 10.0.0.109
1730345424.276494   :   184.28.149.124                         -> 10.0.0.109
1730345424.276494   :   184.28.149.124                         -> 10.0.0.109
1730345424.27656    :   10.0.0.109                             -> 184.28.149.184
1730345424.276619   :   10.0.0.109                             -> 184.28.149.124
1730345424.276668   :   10.0.0.109                             -> 184.28.149.124
1730345424.276703   :   10.0.0.109                             -> 184.28.149.124
1730345424.277633   :   184.28.149.124                         -> 10.0.0.109
1730345424.277633   :   184.28.149.124                         -> 10.0.0.109
1730345424.277633   :   184.28.149.124                         -> 10.0.0.109
1730345424.277689   :   10.0.0.109                             -> 184.28.149.124
1730345424.277764   :   10.0.0.109                             -> 184.28.149.124
1730345424.277898   :   184.28.149.124                         -> 10.0.0.109
1730345424.277898   :   184.28.149.124                         -> 10.0.0.109
1730345424.277898   :   184.28.149.124                         -> 10.0.0.109
1730345424.277949   :   10.0.0.109                             -> 184.28.149.124
1730345424.28577    :   184.28.149.124                         -> 10.0.0.109
1730345424.285864   :   10.0.0.109                             -> 184.28.149.124
1730345424.285994   :   184.28.149.124                         -> 10.0.0.109
1730345424.287608   :   184.28.149.124                         -> 10.0.0.109
1730345424.287657   :   10.0.0.109                             -> 184.28.149.124
1730345424.28782    :   184.28.149.124                         -> 10.0.0.109
1730345424.28782    :   184.28.149.124                         -> 10.0.0.109
1730345424.28782    :   184.28.149.124                         -> 10.0.0.109
1730345424.28782    :   184.28.149.124                         -> 10.0.0.109
1730345424.28782    :   184.28.149.124                         -> 10.0.0.109
1730345424.287913   :   10.0.0.109                             -> 184.28.149.124
1730345424.287961   :   10.0.0.109                             -> 184.28.149.124
1730345424.598088   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2607:f8b0:4005:80f::200e
1730345424.623207   :   2607:f8b0:4005:80f::200e               -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345425.095885   :   fe80::c650:9cff:fe8c:dd77              -> ff02::1
1730345425.095885   :   10.0.0.126                             -> 224.0.0.251
1730345425.095885   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345425.612519   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2607:f8b0:4005:80f::200e
1730345425.635511   :   2607:f8b0:4005:80f::200e               -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345425.912471   :   10.0.0.126                             -> 224.0.0.251
1730345425.912471   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345426.623754   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2607:f8b0:4005:80f::200e
1730345426.648691   :   2607:f8b0:4005:80f::200e               -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345427.040798   :   10.0.0.126                             -> 224.0.0.251
1730345427.040798   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345427.040798   :   3.221.141.237                          -> 10.0.0.109
1730345427.041018   :   10.0.0.109                             -> 3.221.141.237
1730345427.149415   :   10.0.0.126                             -> 224.0.0.251
1730345427.149415   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345427.550967   :   23.22.254.206                          -> 10.0.0.109
1730345427.551028   :   10.0.0.109                             -> 23.22.254.206
1730345427.588064   :   52.202.204.11                          -> 10.0.0.109
1730345427.588125   :   10.0.0.109                             -> 52.202.204.11
1730345427.635816   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2607:f8b0:4005:80f::200e
1730345427.657974   :   2607:f8b0:4005:80f::200e               -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345427.960366   :   52.202.204.11                          -> 10.0.0.109
1730345427.960458   :   10.0.0.109                             -> 52.202.204.11
1730345428.165818   :   fe80::c650:9cff:fe8c:dd77              -> ff02::1
1730345428.373963   :   10.0.0.75                              -> 224.0.0.251
1730345428.373963   :   fe80::18de:51cf:4bc4:6b5e              -> ff02::fb
1730345428.373963   :   52.202.204.11                          -> 10.0.0.109
1730345428.374273   :   10.0.0.109                             -> 52.202.204.11
1730345428.399065   :   34.193.54.33                           -> 10.0.0.109
1730345428.399138   :   10.0.0.109                             -> 34.193.54.33
1730345428.574299   :   10.0.0.126                             -> 224.0.0.251
1730345428.574299   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345428.647798   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2607:f8b0:4005:80f::200e
1730345428.671398   :   2607:f8b0:4005:80f::200e               -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345428.681856   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2001:558:feed::1
1730345428.682147   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2001:558:feed::1
1730345428.708216   :   2001:558:feed::1                       -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345428.708684   :   2001:558:feed::1                       -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345428.710285   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2606:4700::6812:2e
1730345428.710409   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2606:4700::6812:2e
1730345428.710442   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2606:4700::6812:2e
1730345428.734682   :   2606:4700::6812:2e                     -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345428.734981   :   2606:4700::6812:2e                     -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345428.734981   :   2606:4700::6812:2e                     -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345428.784939   :   2606:4700::6812:2e                     -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345428.790374   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2606:4700::6812:2e
1730345428.795441   :   2606:4700::6812:2e                     -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345428.795441   :   2606:4700::6812:2e                     -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345428.795441   :   2606:4700::6812:2e                     -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345428.795526   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2606:4700::6812:2e
1730345428.797477   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2606:4700::6812:2e
1730345428.825146   :   2606:4700::6812:2e                     -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345429.291216   :   10.0.0.75                              -> 224.0.0.251
1730345429.291216   :   fe80::18de:51cf:4bc4:6b5e              -> ff02::fb
1730345429.658874   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2607:f8b0:4005:80f::200e
1730345429.679365   :   2607:f8b0:4005:80f::200e               -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345430.669522   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2607:f8b0:4005:80f::200e
1730345430.692438   :   2607:f8b0:4005:80f::200e               -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345430.930986   :   fe80::c650:9cff:fe8c:dd77              -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345430.931075   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> fe80::c650:9cff:fe8c:dd77
1730345431.134543   :   fe80::c650:9cff:fe8c:dd77              -> ff02::1
1730345431.681164   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2607:f8b0:4005:80f::200e
1730345431.703843   :   2607:f8b0:4005:80f::200e               -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345431.750504   :   10.0.0.105                             -> 224.0.0.251
1730345431.750504   :   fe80::ccc:23ac:8a18:be39               -> ff02::fb
1730345432.534747   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2620:1ec:12::239
1730345432.534919   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2620:1ec:12::239
1730345432.534932   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2001:558:feed::1
1730345432.534961   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2620:1ec:12::239
1730345432.535143   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2001:558:feed::1
1730345432.556478   :   2620:1ec:12::239                       -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345432.556478   :   2620:1ec:12::239                       -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345432.581059   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2620:1ec:12::239
1730345432.583656   :   2001:558:feed::1                       -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345432.584365   :   2001:558:feed::1                       -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345432.613273   :   2620:1ec:12::239                       -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345432.613901   :   2620:1ec:12::239                       -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345432.660558   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2620:1ec:12::239
1730345432.692343   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2607:f8b0:4005:80f::200e
1730345432.713257   :   2607:f8b0:4005:80f::200e               -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345432.757687   :   2620:1ec:12::239                       -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345432.757687   :   2620:1ec:12::239                       -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345432.757687   :   2620:1ec:12::239                       -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345432.757812   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2620:1ec:12::239
1730345432.759358   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2620:1ec:12::239
1730345432.77637    :   10.0.0.105                             -> 224.0.0.251
1730345432.77637    :   fe80::ccc:23ac:8a18:be39               -> ff02::fb
1730345432.776717   :   2620:1ec:12::239                       -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345433.708517   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2607:f8b0:4005:80f::200e
1730345433.731032   :   2607:f8b0:4005:80f::200e               -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345434.108268   :   10.0.0.3                               -> 224.0.0.251
1730345434.108268   :   fe80::1c07:6d12:5b59:da78              -> ff02::fb
1730345434.108268   :   fe80::c650:9cff:fe8c:dd77              -> ff02::1
1730345434.715556   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2607:f8b0:4005:80f::200e
1730345434.746187   :   2607:f8b0:4005:80f::200e               -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345434.922854   :   10.0.0.3                               -> 224.0.0.251
1730345435.02591    :   fe80::1c07:6d12:5b59:da78              -> ff02::fb
1730345435.725668   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2607:f8b0:4005:80f::200e
1730345435.754297   :   2607:f8b0:4005:80f::200e               -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345436.665631   :   10.0.0.126                             -> 224.0.0.251
1730345436.665631   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345436.665631   :   10.0.0.126                             -> 224.0.0.251
1730345436.665631   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345436.749192   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2607:f8b0:4005:80f::200e
1730345436.766084   :   2607:f8b0:4005:80f::200e               -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345437.176241   :   fe80::c650:9cff:fe8c:dd77              -> ff02::1
1730345437.176241   :   10.0.0.126                             -> 224.0.0.251
1730345437.176241   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345437.483324   :   10.0.0.126                             -> 224.0.0.251
1730345437.483324   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345437.689198   :   10.0.0.126                             -> 224.0.0.251
1730345437.689198   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345437.689198   :   10.0.0.126                             -> 224.0.0.251
1730345437.689198   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345437.762141   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2607:f8b0:4005:80f::200e
1730345437.783712   :   2607:f8b0:4005:80f::200e               -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345437.799443   :   10.0.0.126                             -> 224.0.0.251
1730345437.799443   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345437.995917   :   10.0.0.126                             -> 224.0.0.251
1730345437.995917   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345438.772756   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2607:f8b0:4005:80f::200e
1730345438.795835   :   2607:f8b0:4005:80f::200e               -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345438.916989   :   10.0.0.126                             -> 224.0.0.251
1730345439.019249   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345439.736456   :   10.0.0.126                             -> 224.0.0.251
1730345439.736456   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345439.784476   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2607:f8b0:4005:80f::200e
1730345439.807951   :   2607:f8b0:4005:80f::200e               -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345440.145776   :   fe80::c650:9cff:fe8c:dd77              -> ff02::1
1730345440.862177   :   10.0.0.126                             -> 224.0.0.251
1730345440.862177   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345440.965568   :   10.0.0.126                             -> 224.0.0.251
1730345440.965568   :   fe80::81a:456c:720d:af2f               -> ff02::fb


File ./HW1_2.pcap
Timestamp           :   source -> destination
1730345493.190518   :   10.0.0.126                             -> 224.0.0.251
1730345493.190518   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345493.190518   :   10.0.0.126                             -> 224.0.0.251
1730345493.190518   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345493.291609   :   10.0.0.126                             -> 224.0.0.251
1730345493.291609   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345493.497799   :   10.0.0.126                             -> 224.0.0.251
1730345493.497799   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345494.110854   :   fe80::c650:9cff:fe8c:dd77              -> ff02::1
1730345494.398963   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2606:2800:21f:cb07:6820:80da:af6b:8b2c
1730345494.420068   :   2606:2800:21f:cb07:6820:80da:af6b:8b2c -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345494.532164   :   10.0.0.126                             -> 224.0.0.251
1730345494.532164   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345495.237344   :   10.0.0.126                             -> 224.0.0.251
1730345495.237344   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345496.363605   :   10.0.0.126                             -> 224.0.0.251
1730345496.363605   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345496.466338   :   10.0.0.126                             -> 224.0.0.251
1730345496.466338   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345496.599464   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2606:2800:21f:cb07:6820:80da:af6b:8b2c
1730345496.599975   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2606:2800:21f:cb07:6820:80da:af6b:8b2c
1730345496.616628   :   2606:2800:21f:cb07:6820:80da:af6b:8b2c -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345496.616963   :   2606:2800:21f:cb07:6820:80da:af6b:8b2c -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345496.616963   :   2606:2800:21f:cb07:6820:80da:af6b:8b2c -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345496.621752   :   2606:2800:21f:cb07:6820:80da:af6b:8b2c -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345496.621868   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2606:2800:21f:cb07:6820:80da:af6b:8b2c
1730345496.877601   :   10.0.0.3                               -> 224.0.0.251
1730345496.877601   :   fe80::1c07:6d12:5b59:da78              -> ff02::fb
1730345497.183674   :   fe80::c650:9cff:fe8c:dd77              -> ff02::1
1730345497.284766   :   10.0.0.105                             -> 224.0.0.251
1730345497.284766   :   fe80::ccc:23ac:8a18:be39               -> ff02::fb
1730345497.753794   :   10.0.0.109                             -> 104.46.162.226
1730345497.804694   :   10.0.0.109                             -> 10.0.0.255
1730345497.900142   :   10.0.0.3                               -> 224.0.0.251
1730345497.900142   :   fe80::1c07:6d12:5b59:da78              -> ff02::fb
1730345498.003828   :   10.0.0.126                             -> 224.0.0.251
1730345498.003828   :   fe80::81a:456c:720d:af2f               -> ff02::fb
1730345498.003828   :   104.46.162.226                         -> 10.0.0.109
1730345499.477079   :   10.0.0.109                             -> 104.46.162.226
1730345499.477254   :   10.0.0.109                             -> 104.46.162.226
1730345499.477291   :   10.0.0.109                             -> 104.46.162.226
1730345499.477291   :   10.0.0.109                             -> 104.46.162.226
1730345499.477465   :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2001:558:feed::1
1730345499.47765    :   2601:204:f100:2140:9876:fd30:ec6:53cb  -> 2001:558:feed::1
1730345499.502929   :   2001:558:feed::1                       -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345499.503337   :   2001:558:feed::1                       -> 2601:204:f100:2140:9876:fd30:ec6:53cb
1730345499.742787   :   104.46.162.226                         -> 10.0.0.109
1730345499.742787   :   104.46.162.226                         -> 10.0.0.109
1730345499.742787   :   104.46.162.226                         -> 10.0.0.109
1730345499.742787   :   104.46.162.226                         -> 10.0.0.109
1730345499.742787   :   104.46.162.226                         -> 10.0.0.109
1730345499.742897   :   10.0.0.109                             -> 104.46.162.226
1730345499.947598   :   104.46.162.226                         -> 10.0.0.109
1730345499.949747   :   10.0.0.109                             -> 104.46.162.226
1730345500.153508   :   fe80::c650:9cff:fe8c:dd77              -> ff02::1
1730345500.357011   :   104.46.162.226                         -> 10.0.0.109
1730345500.460831   :   10.0.0.3                               -> 224.0.0.251
1730345500.460831   :   fe80::1c07:6d12:5b59:da78              -> ff02::fb


File ./HW1_3.pcap
Timestamp           :   source -> destination
1730785925.561721   :   11.23.93.9                             -> 11.25.68.222
1730785925.753411   :   11.23.93.9                             -> 11.32.230.165
1730785926.398621   :   11.23.93.9                             -> 142.251.46.227
1730785926.406763   :   142.251.46.227                         -> 11.23.93.9
1730785926.49285    :   11.23.93.9                             -> 142.251.46.227
1730785926.492964   :   11.23.93.9                             -> 142.251.46.227
1730785926.493006   :   11.23.93.9                             -> 142.251.46.227
1730785926.524997   :   142.251.46.227                         -> 11.23.93.9
1730785926.525855   :   142.251.46.227                         -> 11.23.93.9
1730785926.525856   :   142.251.46.227                         -> 11.23.93.9
1730785927.499035   :   11.23.93.9                             -> 162.159.61.4
1730785927.499237   :   11.23.93.9                             -> 162.159.61.4
1730785927.504209   :   11.23.93.9                             -> 162.159.61.4
1730785927.504283   :   11.23.93.9                             -> 162.159.61.4
1730785927.504412   :   11.23.93.9                             -> 162.159.61.4
1730785927.504429   :   11.23.93.9                             -> 162.159.61.4
1730785927.562233   :   11.23.93.9                             -> 11.25.68.222
1730785927.575629   :   162.159.61.4                           -> 11.23.93.9
1730785927.576199   :   162.159.61.4                           -> 11.23.93.9
1730785927.580009   :   162.159.61.4                           -> 11.23.93.9
1730785927.58001    :   162.159.61.4                           -> 11.23.93.9
1730785927.580012   :   162.159.61.4                           -> 11.23.93.9
1730785927.580013   :   162.159.61.4                           -> 11.23.93.9
1730785927.580014   :   162.159.61.4                           -> 11.23.93.9
1730785927.580015   :   162.159.61.4                           -> 11.23.93.9
1730785927.580151   :   11.23.93.9                             -> 162.159.61.4
1730785927.581901   :   11.23.93.9                             -> 162.159.61.4
1730785927.582068   :   11.23.93.9                             -> 162.159.61.4
1730785927.582226   :   11.23.93.9                             -> 146.190.62.39
1730785927.58234    :   11.23.93.9                             -> 162.159.61.4
1730785927.582372   :   11.23.93.9                             -> 162.159.61.4
1730785927.591812   :   146.190.62.39                          -> 11.23.93.9
1730785927.591813   :   162.159.61.4                           -> 11.23.93.9
1730785927.591979   :   11.23.93.9                             -> 146.190.62.39
1730785927.592037   :   11.23.93.9                             -> 162.159.61.4
1730785927.592262   :   11.23.93.9                             -> 146.190.62.39
1730785927.596512   :   162.159.61.4                           -> 11.23.93.9
1730785927.596513   :   162.159.61.4                           -> 11.23.93.9
1730785927.596515   :   162.159.61.4                           -> 11.23.93.9
1730785927.596515   :   162.159.61.4                           -> 11.23.93.9
1730785927.596664   :   11.23.93.9                             -> 162.159.61.4
1730785927.597759   :   11.23.93.9                             -> 146.190.62.39
1730785927.601251   :   146.190.62.39                          -> 11.23.93.9
1730785927.604141   :   146.190.62.39                          -> 11.23.93.9
1730785927.604143   :   146.190.62.39                          -> 11.23.93.9
1730785927.604144   :   146.190.62.39                          -> 11.23.93.9
1730785927.604278   :   11.23.93.9                             -> 146.190.62.39
1730785927.604439   :   11.23.93.9                             -> 146.190.62.39
1730785927.606809   :   146.190.62.39                          -> 11.23.93.9
1730785927.606944   :   11.23.93.9                             -> 146.190.62.39
1730785927.607913   :   11.23.93.9                             -> 146.190.62.39
1730785927.618543   :   146.190.62.39                          -> 11.23.93.9
1730785927.618545   :   146.190.62.39                          -> 11.23.93.9
1730785927.618673   :   11.23.93.9                             -> 146.190.62.39
1730785927.623394   :   146.190.62.39                          -> 11.23.93.9
1730785927.623395   :   146.190.62.39                          -> 11.23.93.9
1730785927.623396   :   146.190.62.39                          -> 11.23.93.9
1730785927.623397   :   146.190.62.39                          -> 11.23.93.9
1730785927.623472   :   11.23.93.9                             -> 146.190.62.39
1730785927.624284   :   11.23.93.9                             -> 146.190.62.39
1730785927.62732    :   11.23.93.9                             -> 146.190.62.39
1730785927.627392   :   11.23.93.9                             -> 146.190.62.39
1730785927.634309   :   11.23.93.9                             -> 146.190.62.39
1730785927.634414   :   11.23.93.9                             -> 162.159.61.4
1730785927.634428   :   11.23.93.9                             -> 162.159.61.4
1730785927.634472   :   11.23.93.9                             -> 162.159.61.4
