0.0000   | ICMP | 192.168.80.223  ->   192.168.80.84 | Unknown      | Time Exceeded
0.0045   | ICMP | 192.168.80.223  ->   192.168.80.84 | Unknown      | Time Exceeded
0.0128   | ICMP | 192.168.80.223  ->   192.168.80.84 | Unknown      | Time Exceeded
15.1493  | ICMP | 10.6.102.254    ->   192.168.80.84 | Unknown      | Time Exceeded
15.1779  | ICMP | 10.6.102.254    ->   192.168.80.84 | Unknown      | Time Exceeded
15.2079  | ICMP | 10.5.102.254    ->   192.168.80.84 | Unknown      | Time Exceeded
15.2315  | ICMP | 10.176.253.172  ->   192.168.80.84 | Unknown      | Time Exceeded
15.2592  | ICMP | 10.176.253.172  ->   192.168.80.84 | Unknown      | Time Exceeded
20.3049  | ICMP | 10.166.72.77    ->   192.168.80.84 | Unknown      | Time Exceeded
20.3261  | ICMP | 10.166.72.77    ->   192.168.80.84 | Unknown      | Time Exceeded
20.3564  | ICMP | 10.166.72.77    ->   192.168.80.84 | Unknown      | Time Exceeded
20.3896  | ICMP | 10.166.72.82    ->   192.168.80.84 | Unknown      | Time Exceeded
20.4217  | ICMP | 10.166.72.82    ->   192.168.80.84 | Unknown      | Time Exceeded
20.4590  | ICMP | 10.166.72.82    ->   192.168.80.84 | Unknown      | Time Exceeded
20.4891  | ICMP | 10.177.13.84    ->   192.168.80.84 | Unknown      | Time Exceeded
20.5174  | ICMP | 10.177.13.84    ->   192.168.80.84 | Unknown      | Time Exceeded
20.5485  | ICMP | 10.177.13.84    ->   192.168.80.84 | Unknown      | Time Exceeded
20.5806  | ICMP | 10.166.112.1    ->   192.168.80.84 | Unknown      | Time Exceeded
20.6210  | ICMP | 10.166.112.1    ->   192.168.80.84 | Unknown      | Time Exceeded
20.6615  | ICMP | 10.166.112.1    ->   192.168.80.84 | Unknown      | Time Exceeded
20.7147  | ICMP | 152.195.84.214  ->   192.168.80.84 | San Jose     | Time Exceeded
20.7415  | ICMP | 152.195.84.214  ->   192.168.80.84 | San Jose     | Time Exceeded
20.7819  | ICMP | 152.195.84.214  ->   192.168.80.84 | San Jose     | Time Exceeded
20.8217  | ICMP | 152.195.84.139  ->   192.168.80.84 | San Jose     | Time Exceeded
20.8634  | ICMP | 152.195.84.141  ->   192.168.80.84 | San Jose     | Time Exceeded
20.9120  | ICMP | 152.195.84.141  ->   192.168.80.84 | San Jose     | Time Exceeded
